quarter_id,sector,service_line,account,people_start_of_quarter,people_end_of_quarter,quarterly_revenue_usd
2024Q1,Tech - Software and Gaming,TS - CRS,Willow Consulting 12,108,105,3333474.9103466375
2024Q1,Tech - Software and Gaming,TS - ICD,Willow Consulting 12,162,184,2524461.794255762
2024Q1,Tech - New Age,WC - Consulting,Nimbus Foods 13,226,226,5246361.519241501
2024Q1,Tech - New Age,TS - EA,Nimbus Foods 13,192,197,4318145.513780461
2024Q1,Tech - New Age,TS - DAAI,Nimbus Foods 13,174,191,3065444.2422319837
2024Q1,Tech - New Age,TS - TTMS,Nimbus Foods 13,171,172,3949495.421231886
2024Q1,Tech - Software and Gaming,TS - DAAI,Orion Mobility 14,278,261,6403083.435351414
2024Q1,Tech - Software and Gaming,TS - CIS,Orion Mobility 14,191,190,3903500.029455444
2024Q1,Health,BPS,Stratus Systems 15,105,105,2597485.25422829
2024Q1,Health,WC - Consulting,Stratus Systems 15,236,217,6182622.244474497
2024Q1,Health,TS - CRS,Stratus Systems 15,174,171,3606558.1955827055
2024Q1,Consumer,BPS,Nova Labs 16,81,77,1648773.5235052835
2024Q1,Consumer,Engineering,Nova Labs 16,177,187,5234984.657310772
2024Q1,Health - UHG,TS - EA,Willow Software 17,232,232,4497288.1383084655
2024Q1,Health - UHG,TS - CRS,Willow Software 17,145,143,2501062.937371895
2024Q1,Communications,TS - CIS,Keystone Mobility 18,187,186,4940757.063460268
2024Q1,Communications,BPS,Keystone Mobility 18,100,101,1608568.1834303974
2024Q1,Communications,TS - EA,Keystone Mobility 18,304,315,8357721.407368907
2024Q1,Communications,TS - CRS,Keystone Mobility 18,304,286,6063103.403162597
2024Q1,Tech - Software and Gaming,TS - ICD,Ever Holdings 19,482,452,11794771.24801176
2024Q1,Tech - Software and Gaming,TS - CRS,Ever Holdings 19,635,677,12234974.240040459
2024Q1,Tech - Software and Gaming,Engineering,Ever Holdings 19,265,258,6304379.625424175
2024Q1,Tech - Software and Gaming,WC - Consulting,Ever Holdings 19,537,491,10945843.997868802
2024Q1,Health - UHG,WC - Consulting,Nova Energy 20,193,198,3981081.5948098297
2024Q1,Health - UHG,TS - EA,Nova Energy 20,124,127,2593493.874456544
2024Q1,Tech - New Age,TS - TTMS,Delta Retail 21,220,200,4733291.710266444
2024Q1,Tech - New Age,TS - CIS,Delta Retail 21,352,357,8127409.269557035
2024Q1,Consumer,TS - EA,Matrix Health 22,121,126,2705455.220304777
2024Q1,Consumer,TS - CIS,Matrix Health 22,144,147,3125686.1111703804
2024Q1,Consumer,TS - ICD,Matrix Health 22,180,187,4656936.493252368
2024Q1,Tech - Software and Gaming,TS - CRS,Lumina Telecom 23,311,285,4913257.514334573
2024Q1,Tech - Software and Gaming,TS - CIS,Lumina Telecom 23,117,119,2212048.4497539005
2024Q1,Tech - Software and Gaming,TS - TTMS,Titan Mobility 24,178,175,3153450.220034271
2024Q1,Tech - Software and Gaming,TS - CRS,Titan Mobility 24,338,328,9264196.604297398
2024Q1,Tech - New Age,TS - TTMS,Stratus Networks 25,241,254,6224640.943112179
2024Q1,Tech - New Age,TS - DAAI,Stratus Networks 25,447,487,12989907.894874219
2024Q1,Consumer,TS - TTMS,Zenith Gaming 26,405,449,7745513.777717731
2024Q1,Consumer,TS - CIS,Zenith Gaming 26,424,457,9583195.265296908
2024Q1,Consumer,BPS,Zenith Gaming 26,614,610,12612745.324184282
2024Q1,Consumer,TS - ICD,Zenith Gaming 26,582,594,12737025.757847326
2024Q1,Health,TS - CIS,River Health 27,92,96,2492441.2617661986
2024Q1,Health,TS - ICD,River Health 27,212,214,4226407.424926585
2024Q1,Health,BPS,River Health 27,106,107,2371474.247304761
2024Q1,Communications,TS - ICD,Synergy Logistics 28,251,263,5793543.292429219
2024Q1,Communications,TS - EA,Synergy Logistics 28,146,145,4303520.2546877535
2024Q1,Communications,TS - CRS,Synergy Logistics 28,137,131,3544244.6748806117
2024Q1,Communications,TS - DAAI,Synergy Logistics 28,257,251,5375297.056785901
2024Q1,Communications,TS - EA,Crown Consulting 29,730,758,14186963.787996558
2024Q1,Communications,TS - CIS,Crown Consulting 29,712,712,18508831.462802455
2024Q1,Communications,Engineering,Crown Consulting 29,333,340,9720706.70981936
2024Q1,Tech - New Age,BPS,Jade Telecom 30,149,155,2870135.5997358463
2024Q1,Tech - New Age,TS - CRS,Jade Telecom 30,101,99,2065839.2780654842
2024Q1,Tech - New Age,TS - ICD,Jade Telecom 30,180,188,3990873.8686445286
2024Q1,Tech - New Age,WC - Consulting,Summit Holdings 31,120,123,3702791.2454491532
2024Q1,Tech - New Age,TS - DAAI,Summit Holdings 31,240,222,8653108.351723632
2024Q1,Tech - Software and Gaming,TS - TTMS,Willow Retail 32,120,130,2714410.7959196963
2024Q1,Tech - Software and Gaming,WC - Consulting,Willow Retail 32,130,126,3195402.0164165786
2024Q1,Consumer,TS - CIS,Blue Foods 33,249,224,4781187.623947005
2024Q1,Consumer,BPS,Blue Foods 33,144,135,3025206.88757581
2024Q1,Consumer,TS - CRS,Blue Foods 33,126,118,3024072.308723429
2024Q1,Consumer,TS - TTMS,Blue Foods 33,241,242,4746120.039403949
2024Q1,Health,TS - DAAI,Nova Capital 34,582,572,21126654.308700755
2024Q1,Health,Engineering,Nova Capital 34,664,651,19401116.99512642
2024Q1,Health,BPS,Nova Capital 34,492,510,11559236.139988225
2024Q1,Health,TS - CRS,Nova Capital 34,356,363,8819514.86549032
2024Q1,Health,TS - CRS,Crown Foods 35,176,179,5277186.176707856
2024Q1,Health,BPS,Crown Foods 35,112,115,2524650.0502460934
2024Q1,Health,TS - CIS,Crown Foods 35,149,155,3945117.3727310873
2024Q1,Consumer,TS - EA,Cobalt Health 36,296,259,9238367.697299741
2024Q1,Consumer,BPS,Cobalt Health 36,101,99,2123557.9138434143
2024Q1,Consumer,WC - Consulting,Cobalt Health 36,84,73,2536511.1628851416
2024Q1,Communications,BPS,Matrix Mobility 37,276,277,5362692.830192466
2024Q1,Communications,TS - ICD,Matrix Mobility 37,383,383,9311069.171476709
2024Q1,Communications,TS - DAAI,Matrix Mobility 37,168,179,3761270.8048978094
2024Q1,Communications,Engineering,Matrix Mobility 37,99,106,2364109.070154272
2024Q1,Health,WC - Consulting,Orion Telecom 38,158,160,4370896.794907538
2024Q1,Health,TS - DAAI,Orion Telecom 38,194,188,4236796.825603359
2024Q1,Health,TS - CIS,Orion Telecom 38,169,174,5116534.36255695
2024Q1,Health,TS - EA,Orion Telecom 38,127,123,4184938.5791132874
2024Q1,Consumer,TS - CRS,Falcon Telecom 39,239,239,5914988.225520445
2024Q1,Consumer,TS - CIS,Falcon Telecom 39,205,217,5311112.243987337
2024Q1,Tech - New Age,Engineering,Lumina Holdings 40,129,125,3340448.7447846243
2024Q1,Tech - New Age,TS - CRS,Lumina Holdings 40,217,227,5037907.517154376
2024Q1,Tech - New Age,TS - TTMS,Lumina Holdings 40,293,305,7035406.743760802
2024Q1,Tech - New Age,BPS,Lumina Holdings 40,155,146,2498270.3983899304
2024Q1,Health,TS - DAAI,Vertex Mobility 41,168,178,5332531.892779592
2024Q1,Health,Engineering,Vertex Mobility 41,167,174,4414182.367981817
2024Q1,Tech - Software and Gaming,BPS,Willow Retail 42,594,598,9055538.850006517
2024Q1,Tech - Software and Gaming,TS - ICD,Willow Retail 42,303,289,6286468.735647772
2024Q1,Tech - New Age,TS - CIS,Titan Labs 43,579,549,14240637.715644049
2024Q1,Tech - New Age,TS - CRS,Titan Labs 43,520,503,14362180.983273892
2024Q1,Tech - New Age,Engineering,Titan Labs 43,1246,1287,32037167.843646124
2024Q1,Consumer,TS - CIS,River Foods 44,188,177,4006252.9820598173
2024Q1,Consumer,TS - ICD,River Foods 44,310,318,6734532.4253100725
2024Q1,Tech - Software and Gaming,TS - TTMS,Falcon Gaming 45,120,111,2275959.261637704
2024Q1,Tech - Software and Gaming,TS - CRS,Falcon Gaming 45,180,178,4679397.297500842
2024Q1,Tech - Software and Gaming,Engineering,Falcon Gaming 45,204,205,4366454.513181367
2024Q1,Tech - Software and Gaming,WC - Consulting,Falcon Gaming 45,138,158,3819023.0328264767
2024Q2,Tech - New Age,TS - EA,Umbra Health 01,168,180,4911513.311772428
2024Q2,Tech - New Age,TS - DAAI,Umbra Health 01,362,345,9300441.524595158
2024Q2,Tech - New Age,WC - Consulting,Umbra Health 01,208,201,5691209.903822727
2024Q2,Health,TS - CIS,Apex Mobility 02,221,221,4580903.126006573
2024Q2,Health,TS - CRS,Apex Mobility 02,323,293,7020764.638657643
2024Q2,Health,Engineering,Apex Mobility 02,161,163,3801874.5288906014
2024Q2,Health,WC - Consulting,Apex Mobility 02,153,162,4563365.368741371
2024Q2,Tech - Software and Gaming,Engineering,Horizon Foods 03,184,187,3522299.7367866267
2024Q2,Tech - Software and Gaming,TS - EA,Horizon Foods 03,258,233,6385543.938833737
2024Q2,Tech - Software and Gaming,TS - ICD,Horizon Foods 03,87,86,1837839.4464162749
2024Q2,Tech - New Age,TS - CIS,Ever Health 04,666,696,16277175.212700285
2024Q2,Tech - New Age,WC - Consulting,Ever Health 04,594,527,11520259.515353747
2024Q2,Tech - New Age,TS - EA,Ever Health 04,832,778,23514761.453497194
2024Q2,Tech - New Age,TS - TTMS,Ever Health 04,197,207,5521968.283468665
2024Q2,Communications,TS - TTMS,Vertex Consulting 05,116,118,2416995.0375052937
2024Q2,Communications,TS - ICD,Vertex Consulting 05,95,97,1883540.5304272803
2024Q2,Tech - Software and Gaming,TS - ICD,Crown Software 06,395,439,7100441.783756417
2024Q2,Tech - Software and Gaming,TS - DAAI,Crown Software 06,686,705,18438457.962134358
2024Q2,Tech - Software and Gaming,TS - CIS,Crown Software 06,511,531,9714214.766301483
2024Q2,Tech - Software and Gaming,TS - EA,Crown Software 06,525,610,11736026.051072303
2024Q2,Tech - New Age,TS - EA,Blue Systems 07,167,165,4499671.870642668
2024Q2,Tech - New Age,Engineering,Blue Systems 07,237,226,5782579.863200835
2024Q2,Tech - New Age,TS - CRS,Blue Systems 07,124,127,4050708.1336653414
2024Q2,Tech - New Age,TS - CIS,Blue Systems 07,246,252,4811610.244147149
2024Q2,Tech - New Age,TS - DAAI,Crown Holdings 08,251,243,8532279.221744137
2024Q2,Tech - New Age,WC - Consulting,Crown Holdings 08,226,212,6052215.598342077
2024Q2,Communications,Engineering,Horizon Aerospace 09,214,244,5264275.085163094
2024Q2,Communications,WC - Consulting,Horizon Aerospace 09,175,178,6035786.04398382
2024Q2,Health,TS - EA,Titan Systems 10,344,329,9437979.151043959
2024Q2,Health,Engineering,Titan Systems 10,155,164,4365518.509090649
2024Q2,Health,TS - CRS,Titan Systems 10,127,126,3202381.2745677335
2024Q2,Health,TS - CIS,River Holdings 11,125,123,2556086.78201112
2024Q2,Health,WC - Consulting,River Holdings 11,155,160,2829890.9751216397
2024Q2,Health,TS - EA,River Holdings 11,123,113,3277892.897095863
2024Q2,Tech - Software and Gaming,TS - CRS,Willow Consulting 12,140,143,2676209.992758827
2024Q2,Tech - Software and Gaming,TS - ICD,Willow Consulting 12,167,186,3123894.762516344
2024Q2,Tech - New Age,WC - Consulting,Nimbus Foods 13,239,246,5740324.777650131
2024Q2,Tech - New Age,TS - EA,Nimbus Foods 13,180,176,5281064.650144163
2024Q2,Tech - New Age,TS - DAAI,Nimbus Foods 13,166,161,4305959.051847456
2024Q2,Tech - New Age,TS - TTMS,Nimbus Foods 13,231,225,3992528.550943288
2024Q2,Tech - Software and Gaming,TS - DAAI,Orion Mobility 14,257,253,8522386.596832665
2024Q2,Tech - Software and Gaming,TS - CIS,Orion Mobility 14,178,174,4921515.514735495
2024Q2,Health,BPS,Stratus Systems 15,120,127,2285264.5132961
2024Q2,Health,WC - Consulting,Stratus Systems 15,232,208,7165304.1804252975
2024Q2,Health,TS - CRS,Stratus Systems 15,168,177,4895759.212132753
2024Q2,Consumer,BPS,Nova Labs 16,79,77,1901777.8664461107
2024Q2,Consumer,Engineering,Nova Labs 16,183,187,4734149.750906633
2024Q2,Health - UHG,TS - EA,Willow Software 17,213,199,5497645.201842896
2024Q2,Health - UHG,TS - CRS,Willow Software 17,118,127,2992025.3474726886
2024Q2,Communications,TS - CIS,Keystone Mobility 18,192,206,3720414.0761027983
2024Q2,Communications,BPS,Keystone Mobility 18,91,96,1783152.2836704485
2024Q2,Communications,TS - EA,Keystone Mobility 18,318,289,5973842.9379733745
2024Q2,Communications,TS - CRS,Keystone Mobility 18,300,315,5205825.458401277
2024Q2,Tech - Software and Gaming,TS - ICD,Ever Holdings 19,536,549,12461463.077588566
2024Q2,Tech - Software and Gaming,TS - CRS,Ever Holdings 19,578,522,15647211.618096363
2024Q2,Tech - Software and Gaming,Engineering,Ever Holdings 19,292,292,7620686.125458275
2024Q2,Tech - Software and Gaming,WC - Consulting,Ever Holdings 19,410,419,10469974.423248474
2024Q2,Health - UHG,WC - Consulting,Nova Energy 20,196,203,3879860.6927661463
2024Q2,Health - UHG,TS - EA,Nova Energy 20,132,133,3053112.195427298
2024Q2,Tech - New Age,TS - TTMS,Delta Retail 21,197,200,4186071.138908491
2024Q2,Tech - New Age,TS - CIS,Delta Retail 21,310,337,8368149.487113765
2024Q2,Consumer,TS - EA,Matrix Health 22,124,133,3608758.103262661
2024Q2,Consumer,TS - CIS,Matrix Health 22,117,97,2899648.3998917667
2024Q2,Consumer,TS - ICD,Matrix Health 22,194,190,4001461.086350858
2024Q2,Tech - Software and Gaming,TS - CRS,Lumina Telecom 23,341,338,5757211.067976843
2024Q2,Tech - Software and Gaming,TS - CIS,Lumina Telecom 23,110,98,2859542.8761109877
2024Q2,Tech - Software and Gaming,TS - TTMS,Titan Mobility 24,177,178,3497665.7133801766
2024Q2,Tech - Software and Gaming,TS - CRS,Titan Mobility 24,308,331,6418649.318405782
2024Q2,Tech - New Age,TS - TTMS,Stratus Networks 25,271,253,5559191.621497931
2024Q2,Tech - New Age,TS - DAAI,Stratus Networks 25,450,459,10871538.081055192
2024Q2,Consumer,TS - TTMS,Zenith Gaming 26,438,414,8519128.727719381
2024Q2,Consumer,TS - CIS,Zenith Gaming 26,546,524,14272606.0011073
2024Q2,Consumer,BPS,Zenith Gaming 26,593,646,11217423.905429397
2024Q2,Consumer,TS - ICD,Zenith Gaming 26,624,604,11750396.6386033
2024Q2,Health,TS - CIS,River Health 27,98,101,1617745.619028424
2024Q2,Health,TS - ICD,River Health 27,212,188,3669558.174057849
2024Q2,Health,BPS,River Health 27,115,128,2110718.9650321244
2024Q2,Communications,TS - ICD,Synergy Logistics 28,258,267,4927578.567543493
2024Q2,Communications,TS - EA,Synergy Logistics 28,152,150,4548164.65507464
2024Q2,Communications,TS - CRS,Synergy Logistics 28,129,133,2957169.4907804285
2024Q2,Communications,TS - DAAI,Synergy Logistics 28,264,242,8026597.15942757
2024Q2,Communications,TS - EA,Crown Consulting 29,835,894,19363093.84319163
2024Q2,Communications,TS - CIS,Crown Consulting 29,705,691,15460212.01948807
2024Q2,Communications,Engineering,Crown Consulting 29,372,367,7748346.674066122
2024Q2,Tech - New Age,BPS,Jade Telecom 30,195,189,3230773.4390812167
2024Q2,Tech - New Age,TS - CRS,Jade Telecom 30,116,112,3411085.373878143
2024Q2,Tech - New Age,TS - ICD,Jade Telecom 30,185,193,2680257.2701205662
2024Q2,Tech - New Age,WC - Consulting,Summit Holdings 31,116,118,2302346.2854194203
2024Q2,Tech - New Age,TS - DAAI,Summit Holdings 31,242,251,5879685.047725673
2024Q2,Tech - Software and Gaming,TS - TTMS,Willow Retail 32,114,114,2430285.7790998365
2024Q2,Tech - Software and Gaming,WC - Consulting,Willow Retail 32,145,149,3617146.558941831
2024Q2,Consumer,TS - CIS,Blue Foods 33,238,232,5665080.147689738
2024Q2,Consumer,BPS,Blue Foods 33,155,176,2751990.0315882335
2024Q2,Consumer,TS - CRS,Blue Foods 33,152,138,3557471.4512014976
2024Q2,Consumer,TS - TTMS,Blue Foods 33,218,234,6226512.243632864
2024Q2,Health,TS - DAAI,Nova Capital 34,477,516,15417915.917329628
2024Q2,Health,Engineering,Nova Capital 34,642,609,16554424.604827529
2024Q2,Health,BPS,Nova Capital 34,512,580,9802854.97235981
2024Q2,Health,TS - CRS,Nova Capital 34,454,481,8985133.399354137
2024Q2,Health,TS - CRS,Crown Foods 35,182,193,4975431.291271958
2024Q2,Health,BPS,Crown Foods 35,120,120,2251169.508868318
2024Q2,Health,TS - CIS,Crown Foods 35,181,179,3564405.344933549
2024Q2,Consumer,TS - EA,Cobalt Health 36,326,322,9221685.744239528
2024Q2,Consumer,BPS,Cobalt Health 36,102,104,1290275.6133173534
2024Q2,Consumer,WC - Consulting,Cobalt Health 36,83,90,1771513.4092361918
2024Q2,Communications,BPS,Matrix Mobility 37,247,250,3937591.0706146853
2024Q2,Communications,TS - ICD,Matrix Mobility 37,336,318,8087304.725591726
2024Q2,Communications,TS - DAAI,Matrix Mobility 37,184,193,4566772.509184398
2024Q2,Communications,Engineering,Matrix Mobility 37,101,107,1797611.1137925552
2024Q2,Health,WC - Consulting,Orion Telecom 38,157,163,3956353.1927023283
2024Q2,Health,TS - DAAI,Orion Telecom 38,178,186,4355140.217634497
2024Q2,Health,TS - CIS,Orion Telecom 38,152,150,5548445.759689516
2024Q2,Health,TS - EA,Orion Telecom 38,119,112,4084108.288276747
2024Q2,Consumer,TS - CRS,Falcon Telecom 39,213,202,4377787.242208366
2024Q2,Consumer,TS - CIS,Falcon Telecom 39,180,162,4672438.817824104
2024Q2,Tech - New Age,Engineering,Lumina Holdings 40,116,118,2216280.1485978574
2024Q2,Tech - New Age,TS - CRS,Lumina Holdings 40,234,233,3646116.681703287
2024Q2,Tech - New Age,TS - TTMS,Lumina Holdings 40,319,311,6473411.7203275645
2024Q2,Tech - New Age,BPS,Lumina Holdings 40,123,101,2446457.2475585085
2024Q2,Health,TS - DAAI,Vertex Mobility 41,169,156,4788653.538750968
2024Q2,Health,Engineering,Vertex Mobility 41,196,209,3321555.6848174604
2024Q2,Tech - Software and Gaming,BPS,Willow Retail 42,448,430,9479936.744052438
2024Q2,Tech - Software and Gaming,TS - ICD,Willow Retail 42,282,288,6253069.927954593
2024Q2,Tech - New Age,TS - CIS,Titan Labs 43,552,506,14697684.426978575
2024Q2,Tech - New Age,TS - CRS,Titan Labs 43,513,557,11271579.248184681
2024Q2,Tech - New Age,Engineering,Titan Labs 43,1078,1069,22184431.825954664
2024Q2,Consumer,TS - CIS,River Foods 44,174,177,4388738.492572014
2024Q2,Consumer,TS - ICD,River Foods 44,310,353,5554441.781503851
2024Q2,Tech - Software and Gaming,TS - TTMS,Falcon Gaming 45,124,135,2399829.862576817
2024Q2,Tech - Software and Gaming,TS - CRS,Falcon Gaming 45,209,205,4649269.0423584245
2024Q2,Tech - Software and Gaming,Engineering,Falcon Gaming 45,215,207,4033186.29349199
2024Q2,Tech - Software and Gaming,WC - Consulting,Falcon Gaming 45,130,127,3596359.781462559
2024Q3,Tech - New Age,TS - EA,Umbra Health 01,161,155,4153615.1980448933
2024Q3,Tech - New Age,TS - DAAI,Umbra Health 01,300,290,9182336.369087141
2024Q3,Tech - New Age,WC - Consulting,Umbra Health 01,171,177,7144244.375278023
2024Q3,Health,TS - CIS,Apex Mobility 02,212,195,4739801.630555353
2024Q3,Health,TS - CRS,Apex Mobility 02,275,292,9935202.556401232
2024Q3,Health,Engineering,Apex Mobility 02,158,145,4225515.140558138
2024Q3,Health,WC - Consulting,Apex Mobility 02,128,123,5138357.061033864
2024Q3,Tech - Software and Gaming,Engineering,Horizon Foods 03,141,157,4263820.048125577
2024Q3,Tech - Software and Gaming,TS - EA,Horizon Foods 03,220,235,6670056.721502118
2024Q3,Tech - Software and Gaming,TS - ICD,Horizon Foods 03,90,91,1945534.7321353443
2024Q3,Tech - New Age,TS - CIS,Ever Health 04,741,699,15482657.307163645
2024Q3,Tech - New Age,WC - Consulting,Ever Health 04,550,533,15531034.47322719
2024Q3,Tech - New Age,TS - EA,Ever Health 04,932,936,27293281.88106699
2024Q3,Tech - New Age,TS - TTMS,Ever Health 04,224,225,4792186.309456353
2024Q3,Communications,TS - TTMS,Vertex Consulting 05,136,135,2160095.1313285553
2024Q3,Communications,TS - ICD,Vertex Consulting 05,84,84,1694910.8679986557
2024Q3,Tech - Software and Gaming,TS - ICD,Crown Software 06,396,391,7259143.720522761
2024Q3,Tech - Software and Gaming,TS - DAAI,Crown Software 06,790,722,15684484.241902469
2024Q3,Tech - Software and Gaming,TS - CIS,Crown Software 06,595,577,13435695.160657473
2024Q3,Tech - Software and Gaming,TS - EA,Crown Software 06,494,521,17070201.3895368
2024Q3,Tech - New Age,TS - EA,Blue Systems 07,176,162,4650417.447699468
2024Q3,Tech - New Age,Engineering,Blue Systems 07,222,219,3621609.4290532894
2024Q3,Tech - New Age,TS - CRS,Blue Systems 07,126,120,2767318.5065452917
2024Q3,Tech - New Age,TS - CIS,Blue Systems 07,234,236,5493592.972976476
2024Q3,Tech - New Age,TS - DAAI,Crown Holdings 08,256,250,10094029.42753772
2024Q3,Tech - New Age,WC - Consulting,Crown Holdings 08,222,242,5024237.234768958
2024Q3,Communications,Engineering,Horizon Aerospace 09,232,239,5441265.948088389
2024Q3,Communications,WC - Consulting,Horizon Aerospace 09,218,201,7827769.595222863
2024Q3,Health,TS - EA,Titan Systems 10,386,402,10718100.530769976
2024Q3,Health,Engineering,Titan Systems 10,182,174,5006100.957183593
2024Q3,Health,TS - CRS,Titan Systems 10,147,142,3711050.9412733978
2024Q3,Health,TS - CIS,River Holdings 11,144,147,3549008.45393235
2024Q3,Health,WC - Consulting,River Holdings 11,173,168,4294805.1335962275
2024Q3,Health,TS - EA,River Holdings 11,106,112,2820104.423729272
2024Q3,Tech - Software and Gaming,TS - CRS,Willow Consulting 12,130,124,3409610.970560614
2024Q3,Tech - Software and Gaming,TS - ICD,Willow Consulting 12,152,146,2978816.9194467356
2024Q3,Tech - New Age,WC - Consulting,Nimbus Foods 13,235,226,6452566.314294042
2024Q3,Tech - New Age,TS - EA,Nimbus Foods 13,195,188,5158685.556723821
2024Q3,Tech - New Age,TS - DAAI,Nimbus Foods 13,169,180,4093842.9373542825
2024Q3,Tech - New Age,TS - TTMS,Nimbus Foods 13,239,248,4703998.95838262
2024Q3,Tech - Software and Gaming,TS - DAAI,Orion Mobility 14,273,301,6919574.228815131
2024Q3,Tech - Software and Gaming,TS - CIS,Orion Mobility 14,185,210,3542973.257196058
2024Q3,Health,BPS,Stratus Systems 15,93,87,2155965.9431066606
2024Q3,Health,WC - Consulting,Stratus Systems 15,274,275,5621426.626177497
2024Q3,Health,TS - CRS,Stratus Systems 15,191,178,4569838.0713125
2024Q3,Consumer,BPS,Nova Labs 16,95,91,1447364.38072022
2024Q3,Consumer,Engineering,Nova Labs 16,164,158,5147270.675513825
2024Q3,Health - UHG,TS - EA,Willow Software 17,194,182,4510142.393837589
2024Q3,Health - UHG,TS - CRS,Willow Software 17,127,119,2723832.773161554
2024Q3,Communications,TS - CIS,Keystone Mobility 18,192,190,4279036.641777105
2024Q3,Communications,BPS,Keystone Mobility 18,89,83,2098093.4836752415
2024Q3,Communications,TS - EA,Keystone Mobility 18,329,346,8242377.251998997
2024Q3,Communications,TS - CRS,Keystone Mobility 18,229,216,6087216.488732993
2024Q3,Tech - Software and Gaming,TS - ICD,Ever Holdings 19,524,612,11833054.831304032
2024Q3,Tech - Software and Gaming,TS - CRS,Ever Holdings 19,628,611,10774299.701544605
2024Q3,Tech - Software and Gaming,Engineering,Ever Holdings 19,253,254,6490044.673952308
2024Q3,Tech - Software and Gaming,WC - Consulting,Ever Holdings 19,378,349,15766266.941859482
2024Q3,Health - UHG,WC - Consulting,Nova Energy 20,188,207,5040328.905376847
2024Q3,Health - UHG,TS - EA,Nova Energy 20,106,113,3426011.665864343
2024Q3,Tech - New Age,TS - TTMS,Delta Retail 21,215,219,4795413.6351581095
2024Q3,Tech - New Age,TS - CIS,Delta Retail 21,319,293,10134120.909833325
2024Q3,Consumer,TS - EA,Matrix Health 22,127,129,2417356.068969517
2024Q3,Consumer,TS - CIS,Matrix Health 22,133,124,2548267.884654686
2024Q3,Consumer,TS - ICD,Matrix Health 22,197,214,4197045.715208012
2024Q3,Tech - Software and Gaming,TS - CRS,Lumina Telecom 23,300,315,6426940.08357747
2024Q3,Tech - Software and Gaming,TS - CIS,Lumina Telecom 23,111,112,3486508.3544238578
2024Q3,Tech - Software and Gaming,TS - TTMS,Titan Mobility 24,166,142,3572751.951826089
2024Q3,Tech - Software and Gaming,TS - CRS,Titan Mobility 24,360,339,5757382.170746481
2024Q3,Tech - New Age,TS - TTMS,Stratus Networks 25,297,309,5101873.4245022675
2024Q3,Tech - New Age,TS - DAAI,Stratus Networks 25,411,441,7927247.975017489
2024Q3,Consumer,TS - TTMS,Zenith Gaming 26,431,460,9177008.68437955
